fecha,ruta,pasajeros
2023-01-01,Medellin-Pereira,327
2023-01-02,Medellin-Pereira,183
2023-01-03,Medellin-Pereira,154
2023-01-04,Medellin-Pereira,166
2023-01-05,Medellin-Pereira,181
2023-01-06,Medellin-Pereira,339
2023-01-07,Medellin-Pereira,254
2023-01-08,Medellin-Pereira,287
2023-01-09,Medellin-Pereira,222
2023-01-10,Medellin-Pereira,158
2023-01-11,Medellin-Pereira,136
2023-01-12,Medellin-Pereira,175
2023-01-13,Medellin-Pereira,263
2023-01-14,Medellin-Pereira,179
2023-01-15,Medellin-Pereira,246
2023-01-16,Medellin-Pereira,171
2023-01-17,Medellin-Pereira,125
2023-01-18,Medellin-Pereira,144
2023-01-19,Medellin-Pereira,165
2023-01-20,Medellin-Pereira,234
2023-01-21,Medellin-Pereira,223
2023-01-22,Medellin-Pereira,262
2023-01-23,Medellin-Pereira,177
2023-01-24,Medellin-Pereira,117
2023-01-25,Medellin-Pereira,129
2023-01-26,Medellin-Pereira,176
2023-01-27,Medellin-Pereira,233
2023-01-28,Medellin-Pereira,204
2023-01-29,Medellin-Pereira,252
2023-01-30,Medellin-Pereira,168
2023-01-31,Medellin-Pereira,126
2023-02-01,Medellin-Pereira,161
2023-02-02,Medellin-Pereira,171
2023-02-03,Medellin-Pereira,230
2023-02-04,Medellin-Pereira,208
2023-02-05,Medellin-Pereira,240
2023-02-06,Medellin-Pereira,174
2023-02-07,Medellin-Pereira,105
2023-02-08,Medellin-Pereira,114
2023-02-09,Medellin-Pereira,173
2023-02-10,Medellin-Pereira,254
2023-02-11,Medellin-Pereira,197
2023-02-12,Medellin-Pereira,254
2023-02-13,Medellin-Pereira,165
2023-02-14,Medellin-Pereira,111
2023-02-15,Medellin-Pereira,122
2023-02-16,Medellin-Pereira,163
2023-02-17,Medellin-Pereira,258
2023-02-18,Medellin-Pereira,199
2023-02-19,Medellin-Pereira,230
2023-02-20,Medellin-Pereira,174
2023-02-21,Medellin-Pereira,127
2023-02-22,Medellin-Pereira,123
2023-02-23,Medellin-Pereira,178
2023-02-24,Medellin-Pereira,258
2023-02-25,Medellin-Pereira,207
2023-02-26,Medellin-Pereira,243
2023-02-27,Medellin-Pereira,165
2023-02-28,Medellin-Pereira,137
2023-03-01,Medellin-Pereira,147
2023-03-02,Medellin-Pereira,162
2023-03-03,Medellin-Pereira,240
2023-03-04,Medellin-Pereira,178
2023-03-05,Medellin-Pereira,238
2023-03-06,Medellin-Pereira,181
2023-03-07,Medellin-Pereira,152
2023-03-08,Medellin-Pereira,132
2023-03-09,Medellin-Pereira,184
2023-03-10,Medellin-Pereira,249
2023-03-11,Medellin-Pereira,186
2023-03-12,Medellin-Pereira,262
2023-03-13,Medellin-Pereira,193
2023-03-14,Medellin-Pereira,133
2023-03-15,Medellin-Pereira,157
2023-03-16,Medellin-Pereira,134
2023-03-17,Medellin-Pereira,332
2023-03-18,Medellin-Pereira,218
2023-03-19,Medellin-Pereira,256
2023-03-20,Medellin-Pereira,218
2023-03-21,Medellin-Pereira,114
2023-03-22,Medellin-Pereira,134
2023-03-23,Medellin-Pereira,180
2023-03-24,Medellin-Pereira,274
2023-03-25,Medellin-Pereira,195
2023-03-26,Medellin-Pereira,256
2023-03-27,Medellin-Pereira,171
2023-03-28,Medellin-Pereira,153
2023-03-29,Medellin-Pereira,145
2023-03-30,Medellin-Pereira,172
2023-03-31,Medellin-Pereira,266
2023-04-01,Medellin-Pereira,209
2023-04-02,Medellin-Pereira,287
2023-04-03,Medellin-Pereira,172
2023-04-04,Medellin-Pereira,138
2023-04-05,Medellin-Pereira,137
2023-04-06,Medellin-Pereira,188
2023-04-07,Medellin-Pereira,304
2023-04-08,Medellin-Pereira,212
2023-04-09,Medellin-Pereira,273
