VisitID,UserID,DestinationID,VisitDate
1,1,1,2024-08-03
2,1,14,2024-01-11
3,1,30,2023-07-29
4,1,29,2023-05-25
5,1,2,2024-12-05
6,1,20,2023-05-27
7,1,10,2023-03-10
8,1,26,2024-05-07
9,1,27,2024-09-25
10,1,22,2023-04-04
11,1,5,2024-06-01
12,1,3,2024-01-31
13,1,8,2024-08-29
14,1,13,2023-04-03
15,1,16,2024-12-14
16,1,4,2024-03-28
17,1,28,2024-09-07
18,1,11,2023-09-22
19,1,9,2024-11-20
20,2,14,2023-04-03
21,2,26,2024-08-23
22,2,17,2023-03-20
23,2,8,2024-03-06
24,2,21,2023-12-30
25,2,22,2024-01-24
26,2,28,2024-01-15
27,2,12,2023-01-24
28,2,3,2024-01-07
29,2,4,2024-11-15
30,2,5,2023-11-16
31,2,13,2023-07-22
32,2,9,2024-12-28
33,2,15,2023-03-14
34,2,2,2023-12-22
35,2,29,2024-01-10
36,2,1,2023-12-16
37,3,8,2023-11-05
38,3,16,2023-09-06
39,3,17,2023-09-21
40,3,21,2023-05-13
41,3,10,2023-05-09
42,3,5,2023-06-19
43,3,25,2023-12-08
44,3,6,2023-09-08
45,3,14,2023-10-14
46,3,20,2024-06-09
47,3,18,2023-06-26
48,3,12,2024-10-27
49,3,11,2024-07-03
50,3,1,2023-05-08
51,3,13,2023-08-18
52,3,22,2023-05-15
53,3,19,2023-07-19
54,3,28,2023-09-25
55,3,9,2023-04-06
56,3,4,2023-01-11
57,4,13,2023-08-07
58,4,12,2024-05-10
59,4,17,2024-12-31
60,4,29,2024-08-18
61,4,15,2023-11-04
62,4,7,2023-06-21
63,4,9,2024-12-03
64,4,1,2023-07-21
65,4,23,2023-09-08
66,4,20,2024-12-06
67,4,10,2024-02-15
68,4,21,2023-07-13
69,4,14,2023-01-04
70,4,28,2023-11-11
71,4,8,2024-12-21
72,5,21,2023-04-28
73,5,4,2023-06-04
74,5,13,2023-10-15
75,5,8,2024-11-01
76,5,10,2024-03-25
77,5,24,2024-09-14
78,5,29,2023-07-01
79,5,25,2024-09-12
80,5,12,2023-02-22
81,5,6,2023-06-16
82,5,20,2024-01-18
83,5,1,2023-02-06
84,5,3,2024-09-19
85,5,15,2024-09-26
86,5,23,2024-01-31
87,6,13,2024-11-01
88,6,17,2024-06-04
89,6,30,2023-08-23
90,6,5,2024-02-16
91,6,26,2024-03-18
92,6,10,2023-12-29
93,6,21,2023-12-13
94,6,11,2023-02-10
95,6,9,2023-11-27
96,6,18,2023-09-12
97,6,20,2024-08-21
